file,size,excluded_flag,first_10_ts
Analytics-2025-06-02-072604.ips.ca.synced,20088,False,2025-06-02 07:25:00.00 +0700; 2025-06-01T00:55:00Z
SiriSearchFeedback-2025-06-02-125059.ips,355,False,2025-06-02 12:50:59.00 +0700
xp_amp_app_usage_dnu-2025-06-02-123949.ips,99589,False,2025-06-02 12:39:49.00 +0700
My-Viettel-App-MDM.pdf,3367647,False,
viettel.der,1650,False,
_____________csv__preview_.csv,445,False,2025-08-26T19:23:27.819263; 2025-08-26T19:23:27.817776; 2025-08-26T19:23:28.068096
viettel_bundle_analysis_report.txt,458,False,
____________.csv,445,False,2025-08-26T19:23:27.819263; 2025-08-26T19:23:27.817776; 2025-08-26T19:23:28.068096
history_search.txt,68,False,
viettel.der,1650,False,
viettel.zip,1666,False,
